,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
57472,2022,ESPORTSTMNT01_2913830,Blue,1,0,1,1,0.5043398869372565,0.5066666666666667,0,2568.0,3943.0,55.0,3562.0,4345.0,74.0,-994.0,-402.0,-19.0,0.0,0.0,1.0,1.0,3.0,0.0,1
57473,2022,ESPORTSTMNT01_2913830,Red,0,0,0,0,0.4991748289521472,0.851063829787234,1,3562.0,4345.0,74.0,2568.0,3943.0,55.0,994.0,402.0,19.0,1.0,3.0,0.0,0.0,0.0,1.0,-1
57474,2022,ESPORTSTMNT01_2913836,Blue,1,1,2,1,0.4966640431523996,0.6209677419354839,1,4214.0,5546.0,95.0,2675.0,4099.0,58.0,1539.0,1447.0,37.0,2.0,0.0,0.0,0.0,0.0,1.0,1
57475,2022,ESPORTSTMNT01_2913836,Red,1,0,1,0,0.5109344312991533,0.3762376237623762,0,2675.0,4099.0,58.0,4214.0,5546.0,95.0,-1539.0,-1447.0,-37.0,0.0,0.0,1.0,2.0,0.0,0.0,-1
57476,2022,ESPORTSTMNT01_2913855,Blue,1,2,3,1,0.5085755342087364,0.5982142857142857,1,2994.0,4433.0,68.0,3495.0,5014.0,86.0,-501.0,-581.0,-18.0,0.0,1.0,1.0,1.0,0.0,1.0,2
57477,2022,ESPORTSTMNT01_2913855,Red,1,0,1,0,0.5072105964038641,0.5588235294117647,0,3495.0,5014.0,86.0,2994.0,4433.0,68.0,501.0,581.0,18.0,1.0,0.0,1.0,0.0,1.0,1.0,-2
57478,2022,ESPORTSTMNT01_2913857,Blue,0,1,1,1,0.5069627304810602,0.7024793388429752,1,4187.0,5216.0,96.0,2791.0,4335.0,67.0,1396.0,881.0,29.0,0.0,1.0,0.0,0.0,0.0,1.0,1
57479,2022,ESPORTSTMNT01_2913857,Red,0,0,0,0,0.4913523909381753,0.4590163934426229,0,2791.0,4335.0,67.0,4187.0,5216.0,96.0,-1396.0,-881.0,-29.0,0.0,0.0,1.0,0.0,1.0,0.0,-1
57480,2022,ESPORTSTMNT01_2913860,Blue,1,0,1,0,0.5062065571662899,0.6515151515151515,0,3659.0,4785.0,97.0,3113.0,4591.0,78.0,546.0,194.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57481,2022,ESPORTSTMNT01_2913860,Red,2,0,2,1,0.4915153582455261,0.4383561643835616,1,3113.0,4591.0,78.0,3659.0,4785.0,97.0,-546.0,-194.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57482,2022,ESPORTSTMNT01_2913861,Blue,0,0,0,0,0.5021930355834268,0.5,0,2763.0,4551.0,64.0,3106.0,4703.0,87.0,-343.0,-152.0,-23.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57483,2022,ESPORTSTMNT01_2913861,Red,1,0,1,1,0.5033066691537484,0.5166666666666667,1,3106.0,4703.0,87.0,2763.0,4551.0,64.0,343.0,152.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57484,2022,ESPORTSTMNT01_2914109,Blue,0,1,1,0,0.4880135788912036,0.4383561643835616,0,2824.0,4555.0,62.0,3181.0,4461.0,82.0,-357.0,94.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57485,2022,ESPORTSTMNT01_2914109,Red,2,0,2,1,0.5098621786832951,0.4360902255639097,1,3181.0,4461.0,82.0,2824.0,4555.0,62.0,357.0,-94.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57486,2022,ESPORTSTMNT01_2914117,Blue,0,1,1,0,0.5101317583137895,0.5692307692307692,1,3515.0,4463.0,84.0,3058.0,4500.0,75.0,457.0,-37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57487,2022,ESPORTSTMNT01_2914117,Red,0,2,2,1,0.4855414586293635,0.3103448275862069,0,3058.0,4500.0,75.0,3515.0,4463.0,84.0,-457.0,37.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57488,2022,ESPORTSTMNT01_2914131,Blue,0,0,0,0,0.5047288899778068,0.4651162790697674,0,2920.0,4272.0,64.0,3828.0,4918.0,90.0,-908.0,-646.0,-26.0,0.0,1.0,0.0,0.0,2.0,0.0,-3
57489,2022,ESPORTSTMNT01_2914131,Red,2,1,3,1,0.5038769996152205,0.7254901960784313,1,3828.0,4918.0,90.0,2920.0,4272.0,64.0,908.0,646.0,26.0,0.0,2.0,0.0,0.0,1.0,0.0,3
57490,2022,ESPORTSTMNT01_2914132,Blue,1,0,1,0,0.517417315997074,0.6515151515151515,1,3434.0,4116.0,77.0,2822.0,3839.0,45.0,612.0,277.0,32.0,0.0,4.0,0.0,1.0,1.0,1.0,-2
57491,2022,ESPORTSTMNT01_2914132,Red,2,1,3,1,0.5109196333082574,0.325,0,2822.0,3839.0,45.0,3434.0,4116.0,77.0,-612.0,-277.0,-32.0,1.0,1.0,1.0,0.0,4.0,0.0,2
57492,2022,ESPORTSTMNT01_2914137,Blue,0,0,0,0,0.5024524817750089,0.4590163934426229,1,3069.0,4463.0,76.0,3391.0,4944.0,94.0,-322.0,-481.0,-18.0,0.0,0.0,0.0,0.0,0.0,0.0,-2
57493,2022,ESPORTSTMNT01_2914137,Red,1,1,2,1,0.5054946959349272,0.4333333333333333,0,3391.0,4944.0,94.0,3069.0,4463.0,76.0,322.0,481.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2
57494,2022,ESPORTSTMNT01_2914138,Blue,1,1,2,1,0.4991467465777669,0.4594594594594595,0,3488.0,5415.0,71.0,3254.0,4750.0,88.0,234.0,665.0,-17.0,1.0,0.0,0.0,0.0,0.0,1.0,2
57495,2022,ESPORTSTMNT01_2914138,Red,0,0,0,0,0.4970436506800281,0.45,1,3254.0,4750.0,88.0,3488.0,5415.0,71.0,-234.0,-665.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,-2
57496,2022,ESPORTSTMNT01_2914144,Blue,0,0,0,0,0.5001517564011626,0.5098039215686274,0,2855.0,3828.0,68.0,3448.0,4380.0,79.0,-593.0,-552.0,-11.0,0.0,0.0,1.0,0.0,1.0,0.0,-3
57497,2022,ESPORTSTMNT01_2914144,Red,2,1,3,1,0.4951322268407308,0.2666666666666666,1,2652.0,3154.0,54.0,2195.0,2521.0,16.0,457.0,633.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3
57498,2022,ESPORTSTMNT01_2914376,Blue,0,0,0,0,0.5088382787073964,0.3762376237623762,0,3027.0,4704.0,75.0,3786.0,5475.0,94.0,-759.0,-771.0,-19.0,0.0,0.0,1.0,1.0,0.0,0.0,-3
