,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1425,Dplus KIA,LCK,2025,LOLTMNT02_222074,Red,Rumble,Skarner,Kalista,Azir,Lulu,Ashe,Rumble,Viego,Ryze,Zeri,Poppy,1,3076.0,4100.0,77.0,3107.0,4716.0,81.0,-31.0,-616.0,-4.0,0.0,1.0,0.0,0.0,0.0,0.0,4559.0,6150.0,117.0,5292.0,7615.0,136.0,-733.0,-1465.0,-19.0,0.0,1.0,0.0,0.0,0.0,0.0,6927.0,9033.0,163.0,7130.0,10494.0,180.0,-203.0,-1461.0,-17.0,1.0,3.0,0.0,0.0,1.0,1.0,8520.0,11427.0,197.0,8851.0,12960.0,221.0,-331.0,-1533.0,-24.0,1.0,4.0,0.0,0.0,3.0,1.0
1426,West Point Esports,PCS,2025,LOLTMNT02_222091,Blue,Ambessa,Maokai,Viego,Kalista,Varus,Corki,Ambessa,Sejuani,Mel,Zeri,Lulu,1,3226.0,4836.0,82.0,3474.0,4320.0,80.0,-248.0,516.0,2.0,0.0,3.0,0.0,1.0,0.0,1.0,5104.0,8024.0,139.0,5270.0,7371.0,139.0,-166.0,653.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,6392.0,9604.0,163.0,6758.0,10028.0,180.0,-366.0,-424.0,-17.0,0.0,4.0,0.0,1.0,0.0,2.0,9177.0,12878.0,223.0,8359.0,12052.0,207.0,818.0,826.0,16.0,1.0,4.0,0.0,1.0,0.0,2.0
1427,Frank Esports,PCS,2025,LOLTMNT02_222091,Red,K'Sante,Pantheon,Aurora,Neeko,Ezreal,Poppy,K'Sante,Skarner,Azir,Ashe,Nautilus,0,3474.0,4320.0,80.0,3226.0,4836.0,82.0,248.0,-516.0,-2.0,1.0,0.0,1.0,0.0,3.0,0.0,5270.0,7371.0,139.0,5104.0,8024.0,139.0,166.0,-653.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,6758.0,10028.0,180.0,6392.0,9604.0,163.0,366.0,424.0,17.0,1.0,0.0,2.0,0.0,4.0,0.0,8359.0,12052.0,207.0,9177.0,12878.0,223.0,-818.0,-826.0,-16.0,1.0,0.0,2.0,1.0,4.0,0.0
1428,Frank Esports,PCS,2025,LOLTMNT02_222097,Blue,Ornn,Pantheon,Neeko,Rumble,Karma,Poppy,Ornn,Viego,Aurora,Kai'Sa,Alistar,0,3125.0,4540.0,80.0,3291.0,4770.0,90.0,-166.0,-230.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,4965.0,7026.0,117.0,5234.0,7357.0,136.0,-269.0,-331.0,-19.0,1.0,2.0,1.0,0.0,1.0,0.0,6653.0,10280.0,163.0,7754.0,10234.0,188.0,-1101.0,46.0,-25.0,1.0,2.0,1.0,0.0,1.0,0.0,8206.0,12038.0,188.0,10157.0,13398.0,245.0,-1951.0,-1360.0,-57.0,1.0,2.0,2.0,0.0,2.0,0.0
1429,West Point Esports,PCS,2025,LOLTMNT02_222097,Red,Jayce,Kalista,Maokai,Jax,Irelia,Camille,Jayce,Vi,Sylas,Ezreal,Rell,1,3291.0,4770.0,90.0,3125.0,4540.0,80.0,166.0,230.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5234.0,7357.0,136.0,4965.0,7026.0,117.0,269.0,331.0,19.0,0.0,1.0,0.0,1.0,2.0,1.0,7754.0,10234.0,188.0,6653.0,10280.0,163.0,1101.0,-46.0,25.0,0.0,1.0,0.0,1.0,2.0,1.0,10157.0,13398.0,245.0,8206.0,12038.0,188.0,1951.0,1360.0,57.0,0.0,2.0,0.0,1.0,2.0,2.0
1430,CTBC Flying Oyster,LCP,2025,LOLTMNT02_222122,Blue,K'Sante,Rumble,Jayce,Nocturne,Akali,Renata Glasc,K'Sante,Lillia,Azir,Miss Fortune,Poppy,1,3436.0,4524.0,79.0,2919.0,4167.0,75.0,517.0,357.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,5517.0,7511.0,134.0,4754.0,7049.0,131.0,763.0,462.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,7423.0,10549.0,188.0,6740.0,10053.0,189.0,683.0,496.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,10685.0,13784.0,246.0,8801.0,13531.0,252.0,1884.0,253.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0
1431,GAM Esports,LCP,2025,LOLTMNT02_222122,Red,Ambessa,Skarner,Zyra,Kalista,Xin Zhao,Alistar,Ambessa,Vi,Aurora,Varus,Rell,0,2919.0,4167.0,75.0,3436.0,4524.0,79.0,-517.0,-357.0,-4.0,0.0,0.0,0.0,1.0,0.0,0.0,4754.0,7049.0,131.0,5517.0,7511.0,134.0,-763.0,-462.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,6740.0,10053.0,189.0,7423.0,10549.0,188.0,-683.0,-496.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8801.0,13531.0,252.0,10685.0,13784.0,246.0,-1884.0,-253.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
1432,GAM Esports,LCP,2025,LOLTMNT02_222153,Blue,Udyr,Ashe,Viktor,Jayce,Corki,Ezreal,Udyr,Viego,Taliyah,Caitlyn,Elise,0,3111.0,4701.0,80.0,3402.0,4577.0,78.0,-291.0,124.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4803.0,7212.0,122.0,5126.0,7440.0,131.0,-323.0,-228.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,6270.0,9508.0,159.0,7269.0,10511.0,165.0,-999.0,-1003.0,-6.0,0.0,0.0,1.0,3.0,2.0,0.0,7522.0,11004.0,187.0,9728.0,14918.0,181.0,-2206.0,-3914.0,6.0,0.0,0.0,3.0,4.0,10.0,0.0
1433,CTBC Flying Oyster,LCP,2025,LOLTMNT02_222153,Red,Gragas,Rumble,Kalista,Akali,Nocturne,Xin Zhao,Gragas,Zyra,Tristana,Jhin,Leona,1,3402.0,4577.0,78.0,3111.0,4701.0,80.0,291.0,-124.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,5126.0,7440.0,131.0,4803.0,7212.0,122.0,323.0,228.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,7269.0,10511.0,165.0,6270.0,9508.0,159.0,999.0,1003.0,6.0,3.0,2.0,0.0,0.0,0.0,1.0,9728.0,14918.0,181.0,7522.0,11004.0,187.0,2206.0,3914.0,-6.0,4.0,10.0,0.0,0.0,0.0,3.0
1434,Tan'i eSports CZ,HW,2025,LOLTMNT02_222187,Blue,Gnar,Kalista,Wukong,Mel,Cassiopeia,Syndra,Gnar,Nocturne,Sylas,Corki,Leona,0,3344.0,5190.0,91.0,3406.0,4927.0,92.0,-62.0,263.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4995.0,7532.0,133.0,5780.0,7347.0,132.0,-785.0,185.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,7741.0,11407.0,187.0,7813.0,10578.0,188.0,-72.0,829.0,-1.0,1.0,2.0,1.0,2.0,2.0,1.0,9222.0,13341.0,224.0,9850.0,13300.0,232.0,-628.0,41.0,-8.0,1.0,2.0,2.0,2.0,3.0,1.0
