,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
1169,100 Thieves,LTA,2025,LOLTMNT02_217290,Red,Jax,Rumble,Kalista,Skarner,Maokai,Braum,Jax,Vi,Taliyah,Kai'Sa,Pantheon,1,3471.0,4773.0,79.0,3307.0,4241.0,72.0,164.0,532.0,7.0,0.0,0.0,0.0,1.0,1.0,1.0,5635.0,7268.0,126.0,5602.0,6883.0,122.0,33.0,385.0,4.0,0.0,0.0,1.0,3.0,1.0,1.0,7606.0,9832.0,168.0,7039.0,9328.0,155.0,567.0,504.0,13.0,1.0,0.0,1.0,3.0,2.0,2.0,9596.0,11559.0,193.0,8586.0,11829.0,198.0,1010.0,-270.0,-5.0,3.0,0.0,3.0,3.0,3.0,2.0
1170,Leviatan,LTA,2025,LOLTMNT02_217322,Blue,Gnar,Ivern,Zyra,Ziggs,Leona,Alistar,Gnar,Nidalee,Azir,Ashe,Braum,0,3346.0,4328.0,72.0,3058.0,3968.0,58.0,288.0,360.0,14.0,1.0,1.0,1.0,1.0,0.0,2.0,5015.0,6793.0,117.0,5648.0,6912.0,107.0,-633.0,-119.0,10.0,1.0,4.0,2.0,2.0,3.0,3.0,6498.0,8980.0,151.0,7862.0,9925.0,154.0,-1364.0,-945.0,-3.0,1.0,4.0,2.0,3.0,4.0,3.0,8706.0,11662.0,198.0,9727.0,12443.0,189.0,-1021.0,-781.0,9.0,2.0,4.0,2.0,3.0,6.0,4.0
1171,FlyQuest,LTA,2025,LOLTMNT02_217322,Red,K'Sante,Skarner,Kalista,Vi,Yone,Poppy,K'Sante,Lillia,Corki,Jhin,Pyke,1,3058.0,3968.0,58.0,3346.0,4328.0,72.0,-288.0,-360.0,-14.0,1.0,0.0,2.0,1.0,1.0,1.0,5648.0,6912.0,107.0,5015.0,6793.0,117.0,633.0,119.0,-10.0,2.0,3.0,3.0,1.0,4.0,2.0,7862.0,9925.0,154.0,6498.0,8980.0,151.0,1364.0,945.0,3.0,3.0,4.0,3.0,1.0,4.0,2.0,9727.0,12443.0,189.0,8706.0,11662.0,198.0,1021.0,781.0,-9.0,3.0,6.0,4.0,2.0,4.0,2.0
1172,Gen.G,LCK,2025,LOLTMNT02_217358,Blue,K'Sante,Mel,Jayce,Poppy,Camille,Ambessa,K'Sante,Vi,Aurora,Corki,Alistar,0,3244.0,4770.0,87.0,3685.0,4788.0,89.0,-441.0,-18.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,5039.0,7782.0,142.0,5521.0,7885.0,147.0,-482.0,-103.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,7432.0,10851.0,184.0,7166.0,10214.0,180.0,266.0,637.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,9223.0,13774.0,235.0,10037.0,13128.0,230.0,-814.0,646.0,5.0,1.0,0.0,1.0,1.0,1.0,2.0
1173,Hanwha Life Esports,LCK,2025,LOLTMNT02_217358,Red,Gnar,Skarner,Kalista,Galio,Xayah,Ezreal,Gnar,Sejuani,Yone,Kai'Sa,Rakan,1,3685.0,4788.0,89.0,3244.0,4770.0,87.0,441.0,18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5521.0,7885.0,147.0,5039.0,7782.0,142.0,482.0,103.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,7166.0,10214.0,180.0,7432.0,10851.0,184.0,-266.0,-637.0,-4.0,1.0,1.0,2.0,1.0,0.0,0.0,10037.0,13128.0,230.0,9223.0,13774.0,235.0,814.0,-646.0,-5.0,1.0,1.0,2.0,1.0,0.0,1.0
1174,Gen.G,LCK,2025,LOLTMNT02_217366,Blue,Ornn,Mel,Poppy,Karma,Leona,Bard,Ornn,Wukong,Jayce,Varus,Rell,1,3658.0,4735.0,77.0,2970.0,4157.0,71.0,688.0,578.0,6.0,2.0,0.0,0.0,0.0,0.0,2.0,5542.0,7512.0,129.0,4402.0,6399.0,114.0,1140.0,1113.0,15.0,2.0,1.0,0.0,0.0,0.0,4.0,7343.0,10278.0,170.0,6473.0,9680.0,167.0,870.0,598.0,3.0,3.0,1.0,1.0,0.0,1.0,5.0,8987.0,13404.0,209.0,8443.0,12412.0,202.0,544.0,992.0,7.0,3.0,2.0,1.0,0.0,3.0,5.0
1175,Hanwha Life Esports,LCK,2025,LOLTMNT02_217366,Red,Rumble,Skarner,Kalista,Nidalee,Azir,Hwei,Rumble,Xin Zhao,Galio,Ezreal,Braum,0,2970.0,4157.0,71.0,3658.0,4735.0,77.0,-688.0,-578.0,-6.0,0.0,0.0,2.0,2.0,0.0,0.0,4402.0,6399.0,114.0,5542.0,7512.0,129.0,-1140.0,-1113.0,-15.0,0.0,0.0,4.0,2.0,1.0,0.0,6473.0,9680.0,167.0,7343.0,10278.0,170.0,-870.0,-598.0,-3.0,0.0,1.0,5.0,3.0,1.0,1.0,8443.0,12412.0,202.0,8987.0,13404.0,209.0,-544.0,-992.0,-7.0,0.0,3.0,5.0,3.0,2.0,1.0
1176,Hanwha Life Esports,LCK,2025,LOLTMNT02_217372,Blue,Jax,Lee Sin,Ambessa,Nocturne,Renekton,Poppy,Jax,Maokai,Azir,Jhin,Pyke,1,3385.0,4876.0,85.0,3639.0,4926.0,88.0,-254.0,-50.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4779.0,7374.0,117.0,5404.0,7814.0,135.0,-625.0,-440.0,-18.0,0.0,0.0,1.0,0.0,0.0,0.0,6571.0,9986.0,151.0,8265.0,10872.0,190.0,-1694.0,-886.0,-39.0,0.0,1.0,2.0,1.0,0.0,1.0,8338.0,12106.0,179.0,10758.0,13623.0,234.0,-2420.0,-1517.0,-55.0,1.0,2.0,3.0,2.0,1.0,2.0
1177,Gen.G,LCK,2025,LOLTMNT02_217372,Red,Gangplank,Skarner,Kalista,Nidalee,Lulu,Elise,Gangplank,Lillia,Mel,Miss Fortune,Leona,0,3639.0,4926.0,88.0,3385.0,4876.0,85.0,254.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5404.0,7814.0,135.0,4779.0,7374.0,117.0,625.0,440.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,8265.0,10872.0,190.0,6571.0,9986.0,151.0,1694.0,886.0,39.0,1.0,0.0,1.0,0.0,1.0,2.0,10758.0,13623.0,234.0,8338.0,12106.0,179.0,2420.0,1517.0,55.0,2.0,1.0,2.0,1.0,2.0,3.0
1178,Gen.G,LCK,2025,LOLTMNT02_217385,Blue,Ambessa,Nocturne,Poppy,Nautilus,Elise,Pantheon,Ambessa,Karthus,Smolder,Ashe,Camille,1,3096.0,4704.0,78.0,3561.0,4333.0,74.0,-465.0,371.0,4.0,0.0,0.0,1.0,1.0,1.0,0.0,4977.0,7099.0,117.0,6589.0,7045.0,123.0,-1612.0,54.0,-6.0,1.0,0.0,2.0,4.0,1.0,0.0,6622.0,9846.0,152.0,8806.0,10410.0,182.0,-2184.0,-564.0,-30.0,1.0,1.0,3.0,4.0,1.0,0.0,9740.0,12711.0,170.0,13229.0,13246.0,213.0,-3489.0,-535.0,-43.0,5.0,5.0,4.0,9.0,1.0,2.0
1179,Hanwha Life Esports,LCK,2025,LOLTMNT02_217385,Red,Fiora,Skarner,Kalista,Nidalee,Lulu,Ziggs,Fiora,Zyra,Renekton,Xayah,Shen,0,3561.0,4333.0,74.0,3096.0,4704.0,78.0,465.0,-371.0,-4.0,1.0,1.0,0.0,0.0,0.0,1.0,6589.0,7045.0,123.0,4977.0,7099.0,117.0,1612.0,-54.0,6.0,4.0,1.0,0.0,1.0,0.0,2.0,8806.0,10410.0,182.0,6622.0,9846.0,152.0,2184.0,564.0,30.0,4.0,1.0,0.0,1.0,1.0,3.0,13229.0,13246.0,213.0,9740.0,12711.0,170.0,3489.0,535.0,43.0,9.0,1.0,2.0,5.0,5.0,4.0
1180,CTBC Flying Oyster,LCP,2025,LOLTMNT02_217417,Blue,Udyr,Aurora,Akali,K'Sante,Poppy,Rakan,Udyr,Skarner,Corki,Kai'Sa,Gragas,1,3000.0,4872.0,72.0,3102.0,3821.0,70.0,-102.0,1051.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4671.0,8000.0,121.0,5279.0,6849.0,135.0,-608.0,1151.0,-14.0,0.0,1.0,0.0,0.0,1.0,0.0,6063.0,10077.0,152.0,6904.0,10203.0,177.0,-841.0,-126.0,-25.0,0.0,1.0,1.0,0.0,2.0,0.0,7511.0,11887.0,174.0,8217.0,11728.0,199.0,-706.0,159.0,-25.0,0.0,3.0,2.0,1.0,2.0,1.0
1181,Chiefs Esports Club,LCP,2025,LOLTMNT02_217417,Red,Sett,Xin Zhao,Zyra,Jayce,Jax,Leona,Sett,Nocturne,Orianna,Varus,Alistar,0,3102.0,3821.0,70.0,3000.0,4872.0,72.0,102.0,-1051.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,5279.0,6849.0,135.0,4671.0,8000.0,121.0,608.0,-1151.0,14.0,0.0,1.0,0.0,0.0,1.0,0.0,6904.0,10203.0,177.0,6063.0,10077.0,152.0,841.0,126.0,25.0,0.0,2.0,0.0,0.0,1.0,1.0,8217.0,11728.0,199.0,7511.0,11887.0,174.0,706.0,-159.0,25.0,1.0,2.0,1.0,0.0,3.0,2.0
1182,Kiedyś Miałem Fun,RL,2025,LOLTMNT02_217449,Blue,Jax,Ivern,Rumble,Aurora,Viktor,Hwei,Jax,Maokai,Corki,Kai'Sa,Rell,1,3289.0,4006.0,57.0,2903.0,3652.0,57.0,386.0,354.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,4695.0,6102.0,94.0,4663.0,6322.0,110.0,32.0,-220.0,-16.0,2.0,1.0,1.0,0.0,2.0,3.0,7430.0,8926.0,139.0,7197.0,9371.0,173.0,233.0,-445.0,-34.0,3.0,2.0,1.0,0.0,2.0,3.0,10158.0,11705.0,180.0,8811.0,11526.0,217.0,1347.0,179.0,-37.0,3.0,2.0,1.0,0.0,2.0,3.0
1183,Back2TheGame,RL,2025,LOLTMNT02_217449,Red,Jayce,Varus,Ambessa,Mel,K'Sante,Vel'Koz,Jayce,Sejuani,Smolder,Ezreal,Rakan,0,2903.0,3652.0,57.0,3289.0,4006.0,57.0,-386.0,-354.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,4663.0,6322.0,110.0,4695.0,6102.0,94.0,-32.0,220.0,16.0,0.0,2.0,3.0,2.0,1.0,1.0,7197.0,9371.0,173.0,7430.0,8926.0,139.0,-233.0,445.0,34.0,0.0,2.0,3.0,3.0,2.0,1.0,8811.0,11526.0,217.0,10158.0,11705.0,180.0,-1347.0,-179.0,37.0,0.0,2.0,3.0,3.0,2.0,1.0
1184,Cloud9,LTA,2025,LOLTMNT02_217563,Blue,K'Sante,Poppy,Azir,Varus,Mel,Taliyah,K'Sante,Zyra,Hwei,Corki,Rell,1,3344.0,4926.0,78.0,2765.0,3584.0,60.0,579.0,1342.0,18.0,0.0,2.0,0.0,0.0,0.0,2.0,5413.0,8159.0,140.0,4995.0,6968.0,112.0,418.0,1191.0,28.0,0.0,2.0,0.0,1.0,0.0,2.0,7547.0,11399.0,190.0,7432.0,10561.0,177.0,115.0,838.0,13.0,0.0,2.0,0.0,1.0,0.0,2.0,9525.0,13714.0,228.0,9485.0,13611.0,234.0,40.0,103.0,-6.0,0.0,3.0,0.0,1.0,1.0,2.0
1185,LOUD,LTA,2025,LOLTMNT02_217563,Red,Olaf,Yone,Jayce,Kalista,Alistar,Ashe,Olaf,Skarner,Aurora,Ezreal,Leona,0,2765.0,3584.0,60.0,3344.0,4926.0,78.0,-579.0,-1342.0,-18.0,0.0,0.0,2.0,0.0,2.0,0.0,4995.0,6968.0,112.0,5413.0,8159.0,140.0,-418.0,-1191.0,-28.0,1.0,0.0,2.0,0.0,2.0,0.0,7432.0,10561.0,177.0,7547.0,11399.0,190.0,-115.0,-838.0,-13.0,1.0,0.0,2.0,0.0,2.0,0.0,9485.0,13611.0,234.0,9525.0,13714.0,228.0,-40.0,-103.0,6.0,1.0,1.0,2.0,0.0,3.0,0.0
1186,DN Freecs Challengers,LCKC,2025,LOLTMNT02_217647,Blue,K'Sante,Poppy,Jayce,Renekton,Kai'Sa,Varus,K'Sante,Xin Zhao,Sylas,Ezreal,Leona,0,2981.0,4462.0,66.0,3211.0,4752.0,88.0,-230.0,-290.0,-22.0,0.0,0.0,1.0,0.0,0.0,0.0,4796.0,6884.0,112.0,4880.0,7416.0,128.0,-84.0,-532.0,-16.0,0.0,0.0,1.0,0.0,1.0,0.0,6588.0,9679.0,153.0,6959.0,10355.0,170.0,-371.0,-676.0,-17.0,0.0,1.0,2.0,1.0,4.0,1.0,8323.0,11352.0,183.0,9329.0,13056.0,208.0,-1006.0,-1704.0,-25.0,0.0,1.0,3.0,2.0,4.0,1.0
1187,BNK FEARX Youth,LCKC,2025,LOLTMNT02_217647,Red,Rumble,Skarner,Kalista,Aurora,Wukong,Nidalee,Rumble,Vi,Yone,Xayah,Rakan,1,3211.0,4752.0,88.0,2981.0,4462.0,66.0,230.0,290.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,4880.0,7416.0,128.0,4796.0,6884.0,112.0,84.0,532.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,6959.0,10355.0,170.0,6588.0,9679.0,153.0,371.0,676.0,17.0,1.0,4.0,1.0,0.0,1.0,2.0,9329.0,13056.0,208.0,8323.0,11352.0,183.0,1006.0,1704.0,25.0,2.0,4.0,1.0,0.0,1.0,3.0
1188,DN Freecs Challengers,LCKC,2025,LOLTMNT02_217660,Blue,Ambessa,Poppy,Renekton,Jayce,Sejuani,Nocturne,Ambessa,Wukong,Ahri,Kai'Sa,Nautilus,1,3382.0,4833.0,75.0,3417.0,4644.0,79.0,-35.0,189.0,-4.0,0.0,2.0,1.0,1.0,0.0,1.0,4448.0,6076.0,96.0,5672.0,7055.0,114.0,-1224.0,-979.0,-18.0,0.0,2.0,3.0,2.0,3.0,1.0,6415.0,8879.0,138.0,8116.0,9759.0,157.0,-1701.0,-880.0,-19.0,0.0,6.0,4.0,3.0,4.0,2.0,8247.0,12340.0,182.0,10039.0,11850.0,193.0,-1792.0,490.0,-11.0,0.0,8.0,4.0,3.0,5.0,2.0
1189,BNK FEARX Youth,LCKC,2025,LOLTMNT02_217660,Red,Camille,Skarner,Kalista,Galio,Ashe,Varus,Camille,Lillia,Aurora,Corki,Alistar,0,3417.0,4644.0,79.0,3382.0,4833.0,75.0,35.0,-189.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,5672.0,7055.0,114.0,4448.0,6076.0,96.0,1224.0,979.0,18.0,2.0,3.0,1.0,0.0,2.0,3.0,8116.0,9759.0,157.0,6415.0,8879.0,138.0,1701.0,880.0,19.0,3.0,4.0,2.0,0.0,6.0,4.0,10039.0,11850.0,193.0,8247.0,12340.0,182.0,1792.0,-490.0,11.0,3.0,5.0,2.0,0.0,8.0,4.0
1190,DN Freecs Challengers,LCKC,2025,LOLTMNT02_217686,Blue,Gnar,Poppy,Zyra,Renekton,Braum,Kennen,Gnar,Maokai,Smolder,Hwei,Pyke,1,2966.0,4062.0,63.0,3421.0,4212.0,71.0,-455.0,-150.0,-8.0,0.0,1.0,0.0,1.0,0.0,0.0,5087.0,6793.0,110.0,4936.0,7014.0,115.0,151.0,-221.0,-5.0,1.0,1.0,0.0,1.0,0.0,0.0,9043.0,10470.0,170.0,7239.0,10251.0,166.0,1804.0,219.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,10632.0,12346.0,198.0,8905.0,12371.0,182.0,1727.0,-25.0,16.0,2.0,1.0,2.0,3.0,4.0,1.0
1191,BNK FEARX Youth,LCKC,2025,LOLTMNT02_217686,Red,Udyr,Skarner,Kalista,Jayce,Ziggs,Mel,Udyr,Kindred,Galio,Ashe,Pantheon,0,3421.0,4212.0,71.0,2966.0,4062.0,63.0,455.0,150.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,4936.0,7014.0,115.0,5087.0,6793.0,110.0,-151.0,221.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,7239.0,10251.0,166.0,9043.0,10470.0,170.0,-1804.0,-219.0,-4.0,2.0,1.0,1.0,2.0,1.0,0.0,8905.0,12371.0,182.0,10632.0,12346.0,198.0,-1727.0,25.0,-16.0,3.0,4.0,1.0,2.0,1.0,2.0
1192,T1 Esports Academy,LCKC,2025,LOLTMNT02_217741,Blue,Camille,Kalista,Caitlyn,Renata Glasc,Jhin,Ashe,Camille,Ambessa,Galio,Varus,Poppy,1,3631.0,4505.0,75.0,3112.0,4107.0,68.0,519.0,398.0,7.0,1.0,1.0,1.0,1.0,0.0,1.0,5168.0,6881.0,114.0,5483.0,7082.0,126.0,-315.0,-201.0,-12.0,1.0,1.0,1.0,1.0,0.0,1.0,7133.0,9716.0,157.0,7446.0,9771.0,174.0,-313.0,-55.0,-17.0,1.0,1.0,1.0,1.0,1.0,1.0,8961.0,12257.0,195.0,9513.0,12004.0,213.0,-552.0,253.0,-18.0,1.0,1.0,1.0,1.0,1.0,2.0
1193,OKSavingsBank BRION Challengers,LCKC,2025,LOLTMNT02_217741,Red,Jayce,Skarner,Corki,Vi,Viktor,Orianna,Jayce,Sejuani,Azir,Ezreal,Leona,0,3112.0,4107.0,68.0,3631.0,4505.0,75.0,-519.0,-398.0,-7.0,1.0,0.0,1.0,1.0,1.0,1.0,5483.0,7082.0,126.0,5168.0,6881.0,114.0,315.0,201.0,12.0,1.0,0.0,1.0,1.0,1.0,1.0,7446.0,9771.0,174.0,7133.0,9716.0,157.0,313.0,55.0,17.0,1.0,1.0,1.0,1.0,1.0,1.0,9513.0,12004.0,213.0,8961.0,12257.0,195.0,552.0,-253.0,18.0,1.0,1.0,2.0,1.0,1.0,1.0
1194,OKSavingsBank BRION Challengers,LCKC,2025,LOLTMNT02_217755,Blue,Kennen,Corki,K'Sante,Ashe,Orianna,Viktor,Kennen,Vi,Aurora,Xayah,Rakan,0,3175.0,4558.0,81.0,3075.0,4852.0,67.0,100.0,-294.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5211.0,7418.0,133.0,4730.0,7336.0,109.0,481.0,82.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,7852.0,11289.0,204.0,6342.0,10094.0,147.0,1510.0,1195.0,57.0,0.0,2.0,0.0,0.0,0.0,2.0,9992.0,13266.0,239.0,8206.0,13128.0,207.0,1786.0,138.0,32.0,1.0,2.0,1.0,0.0,0.0,2.0
1195,T1 Esports Academy,LCKC,2025,LOLTMNT02_217755,Red,Jax,Kalista,Caitlyn,Rumble,Gragas,Taliyah,Jax,Skarner,Syndra,Miss Fortune,Rell,1,3075.0,4852.0,67.0,3175.0,4558.0,81.0,-100.0,294.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,4730.0,7336.0,109.0,5211.0,7418.0,133.0,-481.0,-82.0,-24.0,0.0,0.0,1.0,0.0,1.0,0.0,6342.0,10094.0,147.0,7852.0,11289.0,204.0,-1510.0,-1195.0,-57.0,0.0,0.0,2.0,0.0,2.0,0.0,8206.0,13128.0,207.0,9992.0,13266.0,239.0,-1786.0,-138.0,-32.0,0.0,0.0,2.0,1.0,2.0,1.0
1196,OKSavingsBank BRION Challengers,LCKC,2025,LOLTMNT02_217792,Blue,Rumble,K'Sante,Orianna,Viktor,Mel,LeBlanc,Rumble,Wukong,Taliyah,Zeri,Alistar,1,2938.0,4417.0,75.0,3030.0,4867.0,72.0,-92.0,-450.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4942.0,7400.0,125.0,4752.0,7152.0,107.0,190.0,248.0,18.0,0.0,4.0,1.0,0.0,4.0,2.0,7028.0,10348.0,176.0,6239.0,9916.0,141.0,789.0,432.0,35.0,1.0,4.0,1.0,0.0,7.0,2.0,9124.0,12727.0,204.0,7745.0,11490.0,162.0,1379.0,1237.0,42.0,2.0,6.0,1.0,1.0,8.0,3.0
1197,T1 Esports Academy,LCKC,2025,LOLTMNT02_217792,Red,Udyr,Kalista,Caitlyn,Yone,Kai'Sa,Renata Glasc,Udyr,Viego,Ryze,Corki,Nautilus,0,3030.0,4867.0,72.0,2938.0,4417.0,75.0,92.0,450.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,4752.0,7152.0,107.0,4942.0,7400.0,125.0,-190.0,-248.0,-18.0,0.0,4.0,2.0,0.0,4.0,1.0,6239.0,9916.0,141.0,7028.0,10348.0,176.0,-789.0,-432.0,-35.0,0.0,7.0,2.0,1.0,4.0,1.0,7745.0,11490.0,162.0,9124.0,12727.0,204.0,-1379.0,-1237.0,-42.0,1.0,8.0,3.0,2.0,6.0,1.0
1198,West Point Esports,PCS,2025,LOLTMNT02_217846,Blue,Udyr,Viego,Azir,Mel,Seraphine,Rell,Udyr,Sejuani,Tryndamere,Kai'Sa,Elise,1,3015.0,4680.0,69.0,2995.0,4311.0,74.0,20.0,369.0,-5.0,0.0,0.0,0.0,0.0,0.0,1.0,5052.0,8109.0,124.0,4837.0,6698.0,120.0,215.0,1411.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,6816.0,10722.0,164.0,7216.0,9738.0,166.0,-400.0,984.0,-2.0,0.0,2.0,0.0,2.0,3.0,2.0,8624.0,12925.0,183.0,9578.0,11899.0,201.0,-954.0,1026.0,-18.0,1.0,2.0,0.0,3.0,3.0,2.0
1199,HELL PIGS,PCS,2025,LOLTMNT02_217846,Red,Olaf,Pantheon,Neeko,Aurora,Nautilus,Rakan,Olaf,Zyra,Yone,Ashe,Leona,0,2995.0,4311.0,74.0,3015.0,4680.0,69.0,-20.0,-369.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,4837.0,6698.0,120.0,5052.0,8109.0,124.0,-215.0,-1411.0,-4.0,0.0,2.0,2.0,0.0,2.0,0.0,7216.0,9738.0,166.0,6816.0,10722.0,164.0,400.0,-984.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,9578.0,11899.0,201.0,8624.0,12925.0,183.0,954.0,-1026.0,18.0,3.0,3.0,2.0,1.0,2.0,0.0
1200,PRINCIPALITY,NEXO,2025,LOLTMNT02_217979,Blue,K'Sante,Hwei,Gragas,Ezreal,Braum,Aurora,K'Sante,Sejuani,Viktor,Lucian,Leona,1,4124.0,5812.0,93.0,2837.0,4549.0,65.0,1287.0,1263.0,28.0,2.0,0.0,0.0,0.0,0.0,2.0,5850.0,8625.0,143.0,4524.0,6886.0,108.0,1326.0,1739.0,35.0,2.0,0.0,0.0,0.0,1.0,2.0,7876.0,11509.0,178.0,6862.0,10069.0,151.0,1014.0,1440.0,27.0,2.0,3.0,0.0,1.0,1.0,2.0,9552.0,13671.0,203.0,8617.0,12495.0,186.0,935.0,1176.0,17.0,3.0,4.0,1.0,1.0,4.0,2.0
1201,Monta Club,NEXO,2025,LOLTMNT02_217979,Red,Skarner,Ambessa,Mel,Varus,Milio,Azir,Skarner,Gwen,Swain,Ashe,Rell,0,2837.0,4549.0,65.0,4124.0,5812.0,93.0,-1287.0,-1263.0,-28.0,0.0,0.0,2.0,2.0,0.0,0.0,4524.0,6886.0,108.0,5850.0,8625.0,143.0,-1326.0,-1739.0,-35.0,0.0,1.0,2.0,2.0,0.0,0.0,6862.0,10069.0,151.0,7876.0,11509.0,178.0,-1014.0,-1440.0,-27.0,1.0,1.0,2.0,2.0,3.0,0.0,8617.0,12495.0,186.0,9552.0,13671.0,203.0,-935.0,-1176.0,-17.0,1.0,4.0,2.0,3.0,4.0,1.0
1202,GAM Esports,LCP,2025,LOLTMNT02_218013,Blue,K'Sante,Wukong,Ezreal,Kalista,Kai'Sa,Miss Fortune,K'Sante,Lee Sin,Orianna,Zeri,Renata Glasc,0,3231.0,4727.0,84.0,3172.0,4772.0,85.0,59.0,-45.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,4878.0,6881.0,124.0,5044.0,7835.0,141.0,-166.0,-954.0,-17.0,0.0,0.0,0.0,0.0,1.0,0.0,7418.0,9633.0,176.0,6905.0,10510.0,182.0,513.0,-877.0,-6.0,2.0,0.0,0.0,1.0,1.0,1.0,8742.0,11733.0,210.0,9898.0,13676.0,224.0,-1156.0,-1943.0,-14.0,2.0,0.0,1.0,3.0,4.0,1.0
1203,Team Secret Whales,LCP,2025,LOLTMNT02_218013,Red,Ambessa,Corki,Skarner,Nocturne,Ashe,Poppy,Ambessa,Xin Zhao,Aurora,Jinx,Rakan,1,3172.0,4772.0,85.0,3231.0,4727.0,84.0,-59.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5044.0,7835.0,141.0,4878.0,6881.0,124.0,166.0,954.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,6905.0,10510.0,182.0,7418.0,9633.0,176.0,-513.0,877.0,6.0,1.0,1.0,1.0,2.0,0.0,0.0,9898.0,13676.0,224.0,8742.0,11733.0,210.0,1156.0,1943.0,14.0,3.0,4.0,1.0,2.0,0.0,1.0
1204,LODIS,RL,2025,LOLTMNT02_218022,Blue,Gragas,Kalista,Zyra,Mel,Wukong,Pantheon,Gragas,Viego,Viktor,Corki,Nautilus,1,2759.0,4508.0,60.0,3704.0,5012.0,98.0,-945.0,-504.0,-38.0,0.0,0.0,0.0,0.0,0.0,0.0,4369.0,7073.0,104.0,6262.0,8065.0,162.0,-1893.0,-992.0,-58.0,0.0,0.0,0.0,0.0,0.0,0.0,5868.0,9395.0,138.0,8761.0,10898.0,211.0,-2893.0,-1503.0,-73.0,0.0,0.0,1.0,1.0,0.0,0.0,7178.0,11565.0,166.0,10500.0,13562.0,251.0,-3322.0,-1997.0,-85.0,0.0,0.0,1.0,1.0,3.0,0.0
1205,Forsaken,RL,2025,LOLTMNT02_218022,Red,Jayce,K'Sante,Aurora,Maokai,Camille,Sion,Jayce,Sejuani,Sylas,Ezreal,Leona,0,3704.0,5012.0,98.0,2759.0,4508.0,60.0,945.0,504.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,6262.0,8065.0,162.0,4369.0,7073.0,104.0,1893.0,992.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,8761.0,10898.0,211.0,5868.0,9395.0,138.0,2893.0,1503.0,73.0,1.0,0.0,0.0,0.0,0.0,1.0,10500.0,13562.0,251.0,7178.0,11565.0,166.0,3322.0,1997.0,85.0,1.0,3.0,0.0,0.0,0.0,1.0
